t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
533,1,MS,6.67900000,1,407639.88914065,407639.88914065,0.00253106
534,1,MS,6.37400000,1,407589.66122735,407589.66122735,0.00246665
535,1,MS,6.06200000,1,407540.11522216,407540.11522216,0.00240231
536,1,MS,5.84200000,1,407490.94942795,407490.94942795,0.00235787
537,1,MS,5.87100000,1,407441.34433250,407441.34433250,0.00236368
538,1,MS,5.78500000,1,407391.94522850,407391.94522850,0.00234647
539,1,MS,5.55400000,1,407343.46069206,407343.46069206,0.00230082
540,1,MS,5.56900000,1,407294.96582982,407294.96582982,0.00230376
541,1,MS,5.56200000,1,407246.67814086,407246.67814086,0.00230239
542,1,MS,5.60400000,1,407198.49749357,407198.49749357,0.00231063
543,1,MS,5.61200000,1,407150.62803251,407150.62803251,0.00231221
544,1,MS,5.55800000,1,407103.42521278,407103.42521278,0.00230161
545,1,MS,5.49500000,1,407056.91752808,407056.91752808,0.00228929
546,1,MS,5.43400000,1,407011.14577819,407011.14577819,0.00227743
547,1,MS,5.38600000,1,406966.07269795,406966.07269795,0.00226813
548,1,MS,5.28500000,1,406921.91738599,406921.91738599,0.00224869
549,1,MS,5.10800000,1,406878.89820375,406878.89820375,0.00221497
550,1,MS,4.99000000,1,406836.68123872,406836.68123872,0.00219275
551,1,MS,5.03300000,1,406794.47786699,406794.47786699,0.00220083
552,1,MS,5.43300000,1,406750.78359641,406750.78359641,0.00227724
553,1,MS,5.88700000,1,406705.01916823,406705.01916823,0.00236689
554,1,MS,6.19100000,1,406657.41143129,406657.41143129,0.00242872
555,1,MS,6.25500000,1,406608.66877961,406608.66877961,0.00244192
556,1,MS,6.27100000,1,406558.79102624,406558.79102624,0.00244523
557,1,MS,5.67300000,1,406510.45766187,406510.45766187,0.00232424
558,1,MS,5.02500000,1,406463.88741993,406463.88741993,0.00219932
559,1,MS,4.38800000,1,406419.11421405,406419.11421405,0.00208254
560,1,MS,3.80900000,1,406375.85340266,406375.85340266,0.00198135
561,1,MS,3.34000000,1,406333.74106686,406333.74106686,0.00190270
562,1,MS,2.98400000,1,406292.42989912,406292.42989912,0.00184492
563,1,MS,2.81300000,1,406251.33967761,406251.33967761,0.00181775
564,1,MS,2.79800000,1,406210.00971696,406210.00971696,0.00181538
565,1,MS,2.86300000,1,406168.21393860,406168.21393860,0.00182566
566,1,MS,3.00500000,1,406125.78116266,406125.78116266,0.00184829
567,1,MS,3.10600000,1,406082.93828291,406082.93828291,0.00186454
568,1,MS,3.13100000,1,406040.02525008,406040.02525008,0.00186859
569,1,MS,3.17200000,1,405997.04184681,405997.04184681,0.00187523
570,1,MS,3.18100000,1,405954.15468901,405954.15468901,0.00187670
571,1,MS,3.14100000,1,405911.57507554,405911.57507554,0.00187020
572,1,MS,3.11600000,1,405869.27762172,405869.27762172,0.00186616
573,1,MS,2.98500000,1,405827.64072559,405827.64072559,0.00184508
574,1,MS,2.80800000,1,405786.74670825,405786.74670825,0.00181696
575,1,MS,2.83300000,1,405745.81146628,405745.81146628,0.00182091
576,1,MS,2.91700000,1,405704.54238603,405704.54238603,0.00183423
577,1,MS,3.13700000,1,405662.28264179,405662.28264179,0.00186956
578,1,MS,3.31000000,1,405619.03640505,405619.03640505,0.00189777
579,1,MS,3.23200000,1,405575.56908400,405575.56908400,0.00188500
580,1,MS,3.06800000,1,405532.14308308,405532.14308308,0.00185841
581,1,MS,2.82400000,1,405489.04873607,405489.04873607,0.00181948
582,1,MS,2.60600000,1,405446.19290826,405446.19290826,0.00178534
583,1,MS,2.52500000,1,405403.11445916,405403.11445916,0.00177280
584,1,MS,2.41800000,1,405360.01284482,405360.01284482,0.00175636
585,1,MS,2.23700000,1,405317.22905963,405317.22905963,0.00172888
586,1,MS,2.08500000,1,405274.70776948,405274.70776948,0.00170610
587,1,MS,2.01600000,1,405232.22072733,405232.22072733,0.00169585
588,1,MS,1.93500000,1,405189.82125445,405189.82125445,0.00168389
589,1,MS,1.86600000,1,405147.53285223,405147.53285223,0.00167376
590,1,MS,1.81400000,1,405105.30754227,405105.30754227,0.00166617
591,1,MS,1.75900000,1,405063.20991000,405063.20991000,0.00165817
592,1,MS,1.71200000,1,405021.24179525,405021.24179525,0.00165136
593,1,MS,1.67100000,1,404979.40297930,404979.40297930,0.00164544
594,1,MS,1.62500000,1,404937.73976094,404937.73976094,0.00163883
595,1,MS,1.57900000,1,404896.26227963,404896.26227963,0.00163224
596,1,MS,1.52500000,1,404855.01333199,404855.01333199,0.00162453
597,1,MS,1.46800000,1,404813.99534602,404813.99534602,0.00161643
598,1,MS,1.43700000,1,404773.01499455,404773.01499455,0.00161204
599,1,MS,1.43000000,1,404731.81482607,404731.81482607,0.00161105
600,1,MS,1.43200000,1,404690.18825356,404690.18825356,0.00161133
601,1,MS,1.47700000,1,404647.77178898,404647.77178898,0.00161771
602,1,MS,1.57800000,1,404604.19365427,404604.19365427,0.00163209
603,1,MS,1.54600000,1,404559.87409039,404559.87409039,0.00162752
604,1,MS,1.48400000,1,404514.85025296,404514.85025296,0.00161870
605,1,MS,1.42200000,1,404469.17287807,404469.17287807,0.00160992
606,1,MS,1.34600000,1,404423.02981082,404423.02981082,0.00159922
607,1,MS,1.25600000,1,404376.62153803,404376.62153803,0.00158663
608,1,MS,1.16400000,1,404330.01499015,404330.01499015,0.00157386
609,1,MS,1.07700000,1,404283.27513584,404283.27513584,0.00156186
610,1,MS,0.99900000,1,404236.43980173,404236.43980173,0.00155118
611,1,MS,0.95200000,1,404189.46363627,404189.46363627,0.00154478
612,1,MS,0.92200000,1,404142.33991474,404142.33991474,0.00154070
613,1,MS,0.87200000,1,404095.22594314,404095.22594314,0.00153393
614,1,MS,0.82000000,1,404048.16986141,404048.16986141,0.00152692
615,1,MS,0.76500000,1,404001.21673087,404001.21673087,0.00151954
616,1,MS,0.70500000,1,403954.42268909,403954.42268909,0.00151152
617,1,MS,0.64500000,1,403907.81767898,403907.81767898,0.00150354
618,1,MS,0.58000000,1,403861.43379556,403861.43379556,0.00149494
619,1,MS,0.51400000,1,403815.28740052,403815.28740052,0.00148626
620,1,MS,0.45300000,1,403769.37156530,403769.37156530,0.00147827
621,1,MS,0.40900000,1,403723.57179922,403723.57179922,0.00147253
