sum_dry_mass_laminae,sum_dry_mass_roots,sum_C_g,Cont_WSC_DM_shoot,mstruct_stem,mstruct,sum_dry_mass_stem,N_content_mstruct_roots,sum_dry_mass_shoot,N_content_mstruct,N_content_mstruct_shoot,sum_respi_roots,sum_N_g_shoot,plant,Tillers_Photosynthesis_An,Total_Transpiration,C_respired_shoot,NS_shoot,C_N_ratio_shoot,N_content_roots,C_N_ratio,mstruct_shoot,NS_laminae,axis,C_respired_roots,NS_stem,sum_NSC_g,C_exudated,Tillers_Photosynthesis,NS,sum_dry_mass,Cont_WSC_DM,sum_N_g,mstruct_laminae,dry_mass_phloem,sum_respi_shoot,NNI,Cont_WSC_DM_stem,senesced_mstruct,Total_Photosynthesis,N_content,NS_roots,t,N_content_total_DM_shoot,shoot_roots_ratio,Cont_WSC_DM_roots,Cont_WSC_DM_laminae,shoot_roots_mstruct_ratio,N_content_shoot
0.02226830,0.04295714,0.03228758,11.457115744354905,0.00696832,0.05564437,0.01146600,1.68295000,0.03373430,3.59812914,6.95652849,0.18467332,0.00140578,1,0.00000000,0.00002972,0.60148671,40.09635735,10.08987530,1.38830137,16.12641361,0.02020807,40.54441784,MS,0.76357838,39.22617154,0.00780406,0.15178777,0.00000000,27.44387660,0.07669144,12.163659447859475,0.00200216,0.01323975,0.00504208,0.37078331,0.94709408,14.9356917599267,0.00000000,0.00000000,2.61066302,17.50786571,20.00000000,4.16721397,0.78530140,12.718509209875716,9.665989688875207,0.57026546,4.16721397
0.02227912,0.04292955,0.03228105,11.406819400257842,0.00697391,0.05571197,0.01146661,1.68519048,0.03374573,3.59767375,6.95256869,0.18545791,0.00140636,1,0.71447623,0.00003019,0.70838356,40.05777666,10.09058870,1.39291809,16.10561840,0.02022794,40.50919225,MS,0.77461713,39.18069559,0.00776779,0.16840624,1.13168381,27.34037667,0.07667528,12.040537343977627,0.00200433,0.01325403,0.00499613,0.47161615,0.94716460,14.853081998615716,0.00000000,1.13168381,2.61405619,17.34358170,21.00000000,4.16752425,0.78607223,12.538685421033474,9.633098952126279,0.57005757,4.16752425
0.02232950,0.04291834,0.03230036,11.486786250800565,0.00697963,0.05578133,0.01147647,1.68644730,0.03380597,3.59708729,6.94997520,0.18685070,0.00140726,1,3.02699997,0.00005136,0.66011167,40.10408152,10.10226172,1.39624165,16.09784347,0.02024839,40.57744520,MS,0.78967510,39.18306856,0.00775657,0.19412965,3.27675310,27.29644222,0.07672431,11.994343692977253,0.00200650,0.01326876,0.00497417,0.41562374,0.94607988,14.847288380594065,0.00000000,3.27675310,2.61521044,17.20810711,22.00000000,4.16275148,0.78768108,12.394137085004237,9.75962309881798,0.56984905,4.16275148
0.02236660,0.04291195,0.03231684,11.52644525655856,0.00698979,0.05585686,0.01148758,1.68772127,0.03385418,3.59571801,6.94449141,0.18866417,0.00140791,1,3.03311898,0.00005110,0.73592986,40.11433878,10.11220419,1.39947706,16.09039732,0.02027380,40.60783041,MS,0.80722792,39.15349834,0.00773982,0.22127212,3.28079851,27.23762321,0.07676613,11.93427066386282,0.00200846,0.01328401,0.00495625,0.41529588,0.94517150,14.82996717226364,0.00000000,3.28079851,2.61632988,17.07889877,23.00000000,4.15875460,0.78892202,12.256013107209448,9.829742743562031,0.56975988,4.15875460
0.02237712,0.04290454,0.03231997,11.486374425737505,0.00700037,0.05593423,0.01149456,1.68928072,0.03387168,3.59419555,6.93802823,0.18996222,0.00140842,1,1.89340969,0.00004103,0.74480798,40.06773798,10.11404192,1.40302363,16.07650903,0.02030006,40.56568057,MS,0.82003213,39.09836446,0.00770891,0.24926185,2.22376163,27.14643398,0.07677622,11.836016962811684,0.00201039,0.01329969,0.00493161,0.41267141,0.94502665,14.783086065899695,0.00000000,2.22376163,2.61849963,16.94550185,24.00000000,4.15811726,0.78946615,12.11204791045446,9.79293726147319,0.56968007,4.15811726
0.02242399,0.04291043,0.03234724,11.556549361814136,0.00701123,0.05601270,0.01150888,1.69041795,0.03393286,3.59252400,6.93184622,0.19055908,0.00140903,1,4.11114498,0.00005530,0.76948613,40.09667143,10.12820781,1.40580888,16.07500632,0.02032692,40.61854474,MS,0.82723177,39.07984929,0.00770165,0.27945869,4.30422791,27.10790897,0.07684330,11.80178759465249,0.00201227,0.01331569,0.00492455,0.42951888,0.94372878,14.787770484047567,0.00000000,4.30422791,2.61866586,16.83660913,25.00000000,4.15240662,0.79078356,11.995717957877437,9.898158961211323,0.56960842,4.15240662
0.02247925,0.04292906,0.03238531,11.653483230577073,0.00702232,0.05609236,0.01152713,1.69096649,0.03400638,3.59067194,6.92615724,0.19141946,0.00140977,1,5.14173517,0.00007658,0.80248330,40.14549344,10.14502262,1.40771125,16.07936094,0.02035435,40.69182569,MS,0.83536134,39.08008226,0.00770467,0.31792964,5.29323374,27.09169138,0.07693544,11.794695132342524,0.00201409,0.01333203,0.00493354,0.45405335,0.94218574,14.816301218958039,0.00000000,5.29323374,2.61789818,16.75108555,26.00000000,4.14561724,0.79215280,11.906556535538433,10.031621669491093,0.56954394,4.14561724
0.02250686,0.04294305,0.03240637,11.616073030430556,0.00703379,0.05618202,0.01153814,1.69236850,0.03404500,3.59025667,6.92153178,0.19312261,0.00141136,1,3.01115083,0.00004636,0.80120779,40.10613566,10.14534208,1.41051444,16.06599544,0.02039087,40.65328272,MS,0.84879646,39.03884429,0.00768628,0.35357743,3.27954945,27.02503405,0.07698805,11.719480388103403,0.00201708,0.01335708,0.00492761,0.44166006,0.94217565,14.797941405594173,0.00000000,3.27954945,2.61998858,16.65441446,27.00000000,4.14557286,0.79279406,11.80146112660459,9.984887795316462,0.56971823,4.14557286
0.02248537,0.04293942,0.03239472,11.455168977079312,0.00704553,0.05626887,0.01153784,1.69418276,0.03402322,3.58834509,6.91267720,0.19412038,0.00141184,1,0.65329296,0.00002776,0.83387751,39.97049134,10.13579449,1.41426709,16.04397183,0.02042397,40.50158909,MS,0.85710503,38.93546851,0.00763642,0.37892038,1.12702766,26.88807114,0.07696264,11.56774245797835,0.00201912,0.01337844,0.00488816,0.43888203,0.94310140,14.707891245565987,0.00000000,1.12702766,2.62350831,16.52216495,28.00000000,4.14964616,0.79235386,11.656940490403422,9.786110651517992,0.56978733,4.14964616
0.02244928,0.04291927,0.03236976,11.262176811710638,0.00705750,0.05635425,0.01153757,1.69590896,0.03398686,3.58649608,6.90444453,0.19449661,0.00141233,1,0.00000000,0.00002444,0.80386362,39.81377594,10.12168072,1.41850609,16.01555834,0.02045540,40.31922419,MS,0.86034205,38.83029804,0.00757389,0.39031068,0.00000000,26.72327092,0.07690613,11.382757067779496,0.00202114,0.01339790,0.00482101,0.42904559,0.94443738,14.607375070069384,0.00000000,0.00000000,2.62806702,16.35717948,29.00000000,4.15552446,0.79187865,11.478241998155593,9.542946932656,0.56980606,4.15552446
