t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
429,1,MS,413231.51955208,9.03500000,0.00308284,413231.51955208,1
430,1,MS,413185.79354606,9.27000000,0.00314350,413185.79354606,1
431,1,MS,413139.57443136,9.58000000,0.00322519,413139.57443136,1
432,1,MS,413092.74977783,9.86000000,0.00330062,413092.74977783,1
433,1,MS,413044.61324282,10.20500000,0.00339578,413044.61324282,1
434,1,MS,412994.83140543,10.51500000,0.00348340,412994.83140543,1
435,1,MS,412944.09091803,10.59500000,0.00350635,412944.09091803,1
436,1,MS,412892.81181883,10.58000000,0.00350204,412892.81181883,1
437,1,MS,412841.44343979,10.48000000,0.00347341,412841.44343979,1
438,1,MS,412790.25119851,10.38000000,0.00344499,412790.25119851,1
439,1,MS,412739.44208590,10.27000000,0.00341398,412739.44208590,1
440,1,MS,412688.77983261,10.27000000,0.00341398,412688.77983261,1
441,1,MS,412638.37392712,10.29000000,0.00341960,412638.37392712,1
442,1,MS,412588.52360084,10.27500000,0.00341539,412588.52360084,1
443,1,MS,412539.40698315,10.24500000,0.00340697,412539.40698315,1
444,1,MS,412491.21403057,10.19000000,0.00339159,412491.21403057,1
445,1,MS,412443.72225258,10.20500000,0.00339578,412443.72225258,1
446,1,MS,412397.21388540,10.17500000,0.00338741,412397.21388540,1
447,1,MS,412352.77017252,9.84500000,0.00329654,412352.77017252,1
448,1,MS,412310.69238903,9.39500000,0.00317621,412310.69238903,1
449,1,MS,412270.57896745,9.02500000,0.00308029,412270.57896745,1
450,1,MS,412232.22478197,8.69000000,0.00299572,412232.22478197,1
451,1,MS,412195.59386723,8.33500000,0.00290843,412195.59386723,1
452,1,MS,412160.53838928,7.99000000,0.00282582,412160.53838928,1
453,1,MS,412126.78928024,7.69000000,0.00275573,412126.78928024,1
454,1,MS,412092.68940571,7.85000000,0.00279291,412092.68940571,1
455,1,MS,412056.37455111,8.49500000,0.00294748,412056.37455111,1
456,1,MS,412016.98801874,9.15500000,0.00311368,412016.98801874,1
457,1,MS,411973.04596247,9.86500000,0.00330198,411973.04596247,1
458,1,MS,411923.90753046,10.38000000,0.00344499,411923.90753046,1
459,1,MS,411869.92464176,10.58000000,0.00350204,411869.92464176,1
460,1,MS,411813.14922320,10.30500000,0.00342382,411813.14922320,1
461,1,MS,411755.38561771,9.78500000,0.00328026,411755.38561771,1
462,1,MS,411697.35585321,9.29000000,0.00314872,411697.35585321,1
463,1,MS,411638.86923207,8.98000000,0.00306880,411638.86923207,1
464,1,MS,411580.18862574,8.75500000,0.00301196,411580.18862574,1
465,1,MS,411521.84178175,8.51500000,0.00295239,411521.84178175,1
466,1,MS,411464.35770403,8.23500000,0.00288426,411464.35770403,1
467,1,MS,411407.78614281,8.00000000,0.00282818,411407.78614281,1
468,1,MS,411352.68903762,7.67500000,0.00275227,411352.68903762,1
469,1,MS,411299.31242374,7.31000000,0.00266923,411299.31242374,1
470,1,MS,411247.44316655,6.99600000,0.00259964,411247.44316655,1
471,1,MS,411196.79981858,6.77200000,0.00255101,411196.79981858,1
472,1,MS,411147.01438318,6.65600000,0.00252615,411147.01438318,1
473,1,MS,411098.19160149,6.52600000,0.00249856,411098.19160149,1
474,1,MS,411050.93194214,6.24800000,0.00244048,411050.93194214,1
475,1,MS,411005.05062214,6.00100000,0.00238991,411005.05062214,1
476,1,MS,410960.08336339,5.87200000,0.00236388,410960.08336339,1
477,1,MS,410915.95836883,5.74500000,0.00233851,410915.95836883,1
478,1,MS,410871.30211077,5.90100000,0.00236971,410871.30211077,1
479,1,MS,410823.46498402,6.60300000,0.00251487,410823.46498402,1
480,1,MS,410770.82106178,7.47500000,0.00270648,410770.82106178,1
481,1,MS,410712.41427888,8.27000000,0.00289269,410712.41427888,1
482,1,MS,410648.33516179,8.79000000,0.00302074,410648.33516179,1
483,1,MS,410579.56373903,8.99000000,0.00307135,410579.56373903,1
484,1,MS,410508.20057436,8.80500000,0.00302451,410508.20057436,1
485,1,MS,410436.42411506,8.38000000,0.00291936,410436.42411506,1
486,1,MS,410364.87177418,7.95500000,0.00281756,410364.87177418,1
487,1,MS,410293.37219483,7.67000000,0.00275111,410293.37219483,1
488,1,MS,410222.21299344,7.43000000,0.00269628,410222.21299344,1
489,1,MS,410151.11176008,7.30500000,0.00266811,410151.11176008,1
490,1,MS,410080.49717210,7.16500000,0.00263689,410080.49717210,1
491,1,MS,410010.69269883,7.02000000,0.00260490,410010.69269883,1
492,1,MS,409941.48829766,6.94300000,0.00258806,409941.48829766,1
493,1,MS,409872.87441632,6.90100000,0.00257891,409872.87441632,1
494,1,MS,409805.09756777,6.83600000,0.00256482,409805.09756777,1
495,1,MS,409738.63638822,6.69700000,0.00253491,409738.63638822,1
496,1,MS,409672.81326209,6.69300000,0.00253406,409672.81326209,1
497,1,MS,409607.44627226,6.75500000,0.00254735,409607.44627226,1
498,1,MS,409542.29183406,6.87800000,0.00257392,409542.29183406,1
499,1,MS,409477.55174196,6.98400000,0.00259701,409477.55174196,1
500,1,MS,409413.48500912,7.06000000,0.00261369,409413.48500912,1
501,1,MS,409350.05176015,7.16500000,0.00263689,409350.05176015,1
502,1,MS,409287.18937582,7.29500000,0.00266587,409287.18937582,1
503,1,MS,409225.00950463,7.40500000,0.00269062,409225.00950463,1
504,1,MS,409162.77554426,7.63000000,0.00274190,409162.77554426,1
505,1,MS,409099.88531861,7.94000000,0.00281402,409099.88531861,1
506,1,MS,409037.33677770,8.02000000,0.00283291,409037.33677770,1
507,1,MS,408974.85668079,8.10500000,0.00285311,408974.85668079,1
508,1,MS,408912.50448359,8.13000000,0.00285908,408912.50448359,1
509,1,MS,408851.75756024,7.85000000,0.00279291,408851.75756024,1
510,1,MS,408793.48479322,7.36500000,0.00268160,408793.48479322,1
511,1,MS,408736.28134139,7.17000000,0.00263800,408736.28134139,1
512,1,MS,408679.53133887,7.12500000,0.00262803,408679.53133887,1
513,1,MS,408623.30549817,7.09000000,0.00262030,408623.30549817,1
